"AS46026","BBT-AS-ID BATAM BINTAN TELEKOMUNIKASI, PT",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1216,
"AS133364","IDNIC-PNJ-AS-ID Politeknik Negeri Jakarta",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1214,
"AS131722","IDNIC-PU-AS-ID Kementrian Pekerjaan Umum",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1212,
"AS38150","TELNET-AS-ID PT. TIME EXCELINDO",{v: 0.25, f:'0.25%'},{v: 0.25, f: '0.25%'},1200,
"AS38500","CROSSNET-AS-ID PT. Cross Network Indonesia",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1184,
"AS131735","IDNIC-TNC-ID PT Telemedia Network Cakrawala",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1184,
"AS38153","UPH-AS-ID Universitas Pelita Harapan",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1173,
"AS59280","IDNIC-KAILIGLOBAL-AS-ID PT. Kaili Global",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1168,
"AS63885","MYNET-AS-ID PT Inovasi Tjaraka Buana",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1153,
"AS38145","PANCA-AS-ID PT. Panca Dewata Utama",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1134,
"AS58477","ARGON-AS-ID Argon Data Communication",{v: 0.09, f:'0.09%'},{v: 0.00, f: '0.00%'},1130,
"AS133360","IDNIC-AWINET-AS-ID Internet Service Provider",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1130,
"AS17538","CIRCLECOM-AS-ID-AP PT. Circlecom Nusantara Indonesia",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1127,
"AS59273","KLN-AS-ID PT KOMUNIKASI LINTAS NUSA",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1099,
"AS132649","ADAUNET-AS-ID PT Adau Putra Network",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1086,
"AS17996","UIINET-ID-AP PT Global Prima Utama",{v: 0.65, f:'0.65%'},{v: 0.65, f: '0.65%'},1071,
"AS17727","NAPINFO-AS-AP PT. NAP Info Lintas Nusa",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1070,
